Date,Confirmed,Recovered,Deaths,Sick
1/22/20,548,28,17,503
1/23/20,643,30,18,595
1/24/20,920,36,26,858
1/25/20,1406,39,42,1325
1/26/20,2075,49,56,1970
1/27/20,2877,58,82,2737
1/28/20,5509,101,131,5277
1/29/20,6087,120,133,5834
1/30/20,8141,135,171,7835
1/31/20,9802,214,213,9375
2/1/20,11891,275,259,11357
2/2/20,16630,463,361,15806
2/3/20,19716,614,425,18677
2/4/20,23707,843,491,22373
2/5/20,27440,1115,563,25762
2/6/20,30587,1477,633,28477
2/7/20,34110,1999,718,31393
2/8/20,36814,2596,805,33413
2/9/20,39829,3219,905,35705
2/10/20,42354,3918,1012,37424
2/11/20,44386,4636,1112,38638
2/12/20,44759,5082,1117,38560
2/13/20,59895,6217,1369,52309
2/14/20,66358,7977,1521,56860
2/15/20,68413,9298,1663,57452
2/16/20,70513,10755,1766,57992
2/17/20,72434,12462,1864,58108
2/18/20,74211,14206,2003,58002
2/19/20,74619,15962,2116,56541
2/20/20,75077,18014,2238,54825
2/21/20,75550,18704,2238,54608
2/22/20,77001,22699,2443,51859
2/23/20,77022,23187,2445,51390
2/24/20,77241,25015,2595,49631
2/25/20,77754,27676,2665,47413
2/26/20,78166,30084,2717,45365
2/27/20,78600,32930,2746,42924
2/28/20,78928,36329,2790,39809
2/29/20,79356,39320,2837,37199
3/1/20,79932,42162,2872,34898
3/2/20,80136,44854,2914,32368
3/3/20,80261,47450,2947,29864
3/4/20,80386,50001,2983,27402
3/5/20,80537,52292,3015,25230
3/6/20,80690,53944,3044,23702
3/7/20,80770,55539,3072,22159
3/8/20,80823,57388,3100,20335
3/9/20,80860,58804,3123,18933
3/10/20,80887,60181,3139,17567
3/11/20,80921,61644,3161,16116
3/12/20,80932,62901,3172,14859
3/13/20,80945,64196,3180,13569
3/14/20,80977,65660,3193,12124
3/15/20,81003,67017,3203,10783
3/16/20,81033,67910,3217,9906
3/17/20,81058,68798,3230,9030
