Date,Hubei,Guangdong,Henan,Zhejiang,Hunan,Anhui,Jiangxi,Shandong,Jiangsu,Chongqing,Sichuan,Heilongjiang,Beijing,Shanghai,Hebei,Fujian,Guangxi,Shaanxi,Yunnan,Hainan,Guizhou,Tianjin,Shanxi,Gansu,Hong Kong,Liaoning,Jilin,Xinjiang,Inner Mongolia,Ningxia,Qinghai,Macau,Tibet
1/22/20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/20,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/20,31,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/20,32,2,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/20,42,2,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/27/20,45,4,0,1,0,0,2,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/20,80,4,0,3,0,0,3,0,1,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/20,88,5,1,3,0,2,3,1,1,1,1,0,4,5,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1/30/20,90,10,2,4,2,2,5,1,1,1,1,0,4,5,0,0,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0
1/31/20,141,11,3,14,2,3,7,2,5,1,1,0,5,9,0,0,2,0,1,1,2,0,1,0,0,1,1,0,1,0,0,0,0
2/1/20,168,14,3,21,8,5,9,3,6,3,3,2,9,10,0,0,2,0,2,1,2,0,1,0,0,1,1,0,1,0,0,0,0
2/2/20,295,15,10,32,16,7,12,6,7,7,11,2,9,10,3,0,2,0,3,4,2,1,3,3,0,1,1,0,1,0,0,0,0
2/3/20,386,21,16,43,22,14,18,7,8,9,14,2,12,10,3,1,7,0,5,4,2,1,2,3,0,1,1,0,1,1,0,0,0
2/4/20,522,30,27,62,31,20,20,11,12,9,14,4,23,12,4,3,10,2,5,5,2,2,4,4,0,2,1,0,1,1,0,0,0
2/5/20,633,49,47,78,54,23,27,15,23,15,24,7,24,15,6,11,13,6,5,5,9,2,5,6,0,4,2,0,3,1,3,0,0
2/6/20,817,69,56,94,81,34,37,27,34,24,31,8,31,25,13,14,14,9,7,8,6,2,12,6,0,5,4,0,4,1,3,1,0
2/7/20,1115,88,86,123,112,47,45,37,43,31,42,12,33,30,22,20,17,17,12,10,6,2,15,9,0,7,4,0,5,5,3,1,0
2/8/20,1439,112,116,175,156,59,55,44,51,39,60,13,34,41,30,24,17,20,17,14,7,4,21,12,0,8,4,0,5,15,3,1,0
2/9/20,1795,141,153,201,186,72,73,63,71,51,71,14,37,44,34,35,18,25,18,19,7,4,25,16,0,12,12,0,5,13,3,1,0
2/10/20,2222,167,191,242,208,88,105,66,81,66,80,30,44,48,41,39,24,30,19,19,10,8,25,17,0,13,13,0,5,13,3,1,0
2/11/20,2639,212,218,270,247,105,128,80,93,79,85,28,48,52,48,45,33,32,20,20,17,10,30,24,0,19,18,3,5,22,5,1,0
2/12/20,2686,275,246,321,304,127,152,92,125,102,92,31,56,57,54,53,32,43,26,27,18,11,33,31,1,20,22,3,6,24,9,2,1
2/13/20,3459,314,296,360,339,157,170,105,139,128,104,33,69,62,68,57,33,46,27,30,27,21,36,39,1,22,24,6,6,24,11,3,1
2/14/20,4774,362,357,403,364,193,187,136,157,152,114,47,80,90,87,63,36,54,36,43,28,31,38,39,1,29,25,6,6,24,11,3,1
2/15/20,5623,410,391,428,425,221,210,156,186,184,119,68,98,124,101,71,44,60,42,39,41,37,46,49,1,31,26,10,7,33,13,3,1
2/16/20,6639,465,440,456,464,255,240,173,218,207,131,79,108,140,105,82,49,71,42,52,46,45,50,54,2,40,30,12,8,33,13,5,1
2/17/20,7862,524,509,507,498,280,275,191,258,225,156,85,114,161,122,90,53,79,47,59,57,46,53,58,2,43,34,12,8,35,13,5,1
2/18/20,9128,565,522,535,527,361,310,211,280,254,169,111,122,177,136,93,69,89,57,79,66,48,61,62,2,53,36,12,8,42,15,5,1
2/19/20,10337,606,573,604,561,413,362,231,318,274,188,120,145,186,152,112,86,102,60,84,70,54,68,65,5,55,37,20,10,42,16,5,1
2/20/20,11788,642,637,633,634,474,433,254,356,299,217,136,153,199,169,126,90,118,79,86,72,59,76,71,6,59,43,22,16,44,16,6,1
2/21/20,11881,690,736,679,661,539,489,281,373,316,231,175,169,211,184,149,97,134,96,95,77,62,78,76,5,61,45,24,17,48,18,6,1
2/22/20,15299,728,830,719,692,597,555,302,401,328,250,204,178,227,203,162,104,149,107,104,90,65,81,76,6,66,52,25,26,48,18,6,1
2/23/20,15343,755,868,760,714,637,613,321,418,335,261,222,189,249,219,170,106,163,115,106,102,81,88,78,11,73,54,28,27,56,18,6,1
2/24/20,16748,786,943,782,731,663,645,343,452,349,276,227,198,261,234,183,112,173,124,116,102,87,94,80,19,80,60,30,34,58,18,6,1
2/25/20,18971,822,1002,808,768,712,683,355,458,372,289,243,215,268,248,199,134,186,129,124,104,91,98,80,19,83,63,30,35,61,18,7,1
2/26/20,20969,851,1033,867,783,744,719,377,478,384,307,249,235,272,261,218,147,192,144,129,104,96,104,81,24,88,65,34,38,65,18,7,1
