FIPS,Admin2,Province_State,Combined_Key,Population,Confirmed,Confirmed per 100K,Deaths,Deaths per 100K
"""00060""",,American Samoa,"American Samoa, US",55641,0,0.0,0,0.0
"""00066""",,Guam,"Guam, US",164229,767,467.03079236919183,6,3.653435142392635
"""00069""",,Northern Mariana Islands,"Northern Mariana Islands, US",55144,54,97.9254315972726,2,3.626867836936022
"""00078""",,Virgin Islands,"Virgin Islands, US",107268,932,868.8518477085431,10,9.322444717902822
"""01001""",Autauga,Alabama,"Autauga, Alabama, US",55869,1266,2266.015142565645,22,39.37783028155149
"""01003""",Baldwin,Alabama,"Baldwin, Alabama, US",223234,4069,1822.7510146303878,32,14.334733956296981
"""01005""",Barbour,Alabama,"Barbour, Alabama, US",24686,629,2548.0029166329095,7,28.356153285262902
"""01007""",Bibb,Alabama,"Bibb, Alabama, US",22394,510,2277.395730999375,6,26.79289095293382
"""01009""",Blount,Alabama,"Blount, Alabama, US",57826,934,1615.1903987825547,6,10.375955452564591
"""01011""",Bullock,Alabama,"Bullock, Alabama, US",10101,527,5217.305217305217,13,128.7001287001287
"""01013""",Butler,Alabama,"Butler, Alabama, US",19448,804,4134.101192924722,36,185.1090086384204
"""01015""",Calhoun,Alabama,"Calhoun, Alabama, US",113605,2144,1887.240878482461,23,20.245587782227894
"""01017""",Chambers,Alabama,"Chambers, Alabama, US",33254,870,2616.2266193540627,38,114.27196728213147
"""01019""",Cherokee,Alabama,"Cherokee, Alabama, US",26196,331,1263.5516872805008,9,34.35639028859368
"""01021""",Chilton,Alabama,"Chilton, Alabama, US",44428,936,2106.779508418115,10,22.508328081390115
"""01023""",Choctaw,Alabama,"Choctaw, Alabama, US",12589,306,2430.693462546668,12,95.32131225673207
"""01025""",Clarke,Alabama,"Clarke, Alabama, US",23622,884,3742.274151214969,10,42.33341800016933
"""01027""",Clay,Alabama,"Clay, Alabama, US",13235,316,2387.608613524745,6,45.33434076312807
"""01029""",Cleburne,Alabama,"Cleburne, Alabama, US",14910,177,1187.122736418511,4,26.82763246143528
"""01031""",Coffee,Alabama,"Coffee, Alabama, US",52342,902,1723.2814947843033,5,9.552558175079286
"""01033""",Colbert,Alabama,"Colbert, Alabama, US",55241,1343,2431.1652576890356,19,34.394743035064536
"""01035""",Conecuh,Alabama,"Conecuh, Alabama, US",12067,421,3488.853899063562,11,91.15770282588879
"""01037""",Coosa,Alabama,"Coosa, Alabama, US",10663,112,1050.3610616149301,3,28.13467129325706
"""01039""",Covington,Alabama,"Covington, Alabama, US",37049,819,2210.5859807282245,22,59.38081999514157
"""01041""",Crenshaw,Alabama,"Crenshaw, Alabama, US",13772,367,2664.827185593959,14,101.65553296543712
"""01043""",Cullman,Alabama,"Cullman, Alabama, US",83768,1365,1629.5005252602427,12,14.325279342947187
"""01045""",Dale,Alabama,"Dale, Alabama, US",49172,960,1952.3305946473602,36,73.21239729927602
"""01047""",Dallas,Alabama,"Dallas, Alabama, US",37196,1404,3774.599419292397,25,67.21152812130337
"""01049""",DeKalb,Alabama,"DeKalb, Alabama, US",71513,1989,2781.3124886384294,14,19.57686015130116
"""01051""",Elmore,Alabama,"Elmore, Alabama, US",81209,1911,2353.187454592471,42,51.71840559543893
"""01053""",Escambia,Alabama,"Escambia, Alabama, US",36633,1172,3199.3011765348183,20,54.59558321731772
"""01055""",Etowah,Alabama,"Etowah, Alabama, US",102268,2509,2453.3578440959045,37,36.1794500723589
"""01057""",Fayette,Alabama,"Fayette, Alabama, US",16302,270,1656.2384983437616,6,36.8052999631947
"""01059""",Franklin,Alabama,"Franklin, Alabama, US",31362,1432,4566.035329379504,22,70.14858746253428
"""01061""",Geneva,Alabama,"Geneva, Alabama, US",26271,353,1343.6869551977466,2,7.612957253245023
"""01063""",Greene,Alabama,"Greene, Alabama, US",8111,268,3304.1548514363208,14,172.6051041795093
"""01065""",Hale,Alabama,"Hale, Alabama, US",14651,512,3494.6420039587742,26,177.46228926353152
