Province_State,Confirmed,Confirmed per 100K,Deaths,Deaths per 100K,Population
Alabama,141087,2877.456184092585,2392,48.784616529867826,4903185
Alaska,6431,879.0983466498985,44,6.01466758709307,731545
American Samoa,0,0.0,0,0.0,55641
Arizona,209904,2883.804934303669,5370,73.77673840046262,7278717
Arkansas,70761,2344.784485672363,1157,38.33913667024101,3017804
California,771321,1952.1073263835347,14691,37.180899692735586,39512223
Colorado,62666,1088.190186179745,2002,34.764573336926716,5758736
Connecticut,55034,1543.6064473911918,4487,125.85242085700254,3565287
Delaware,18756,1926.1340530148989,619,63.56776385243242,973764
District of Columbia,14743,2088.9863109972525,617,87.42484934445532,705749
Florida,669635,3117.809851196148,12939,60.24377707949399,21477737
Georgia,279937,2636.5814002135926,6272,59.07271472559773,10617423
Guam,2013,1225.7274902727288,28,17.049363997832295,164229
Hawaii,10918,771.1149030420829,102,7.204041043258147,1415872
Idaho,36089,2019.456483116171,429,24.005841981125478,1787065
Illinois,266093,2099.879725258114,8367,66.02839481397346,12671821
Indiana,107809,1601.3887842923707,3247,48.23075422828639,6732219
Iowa,76630,2428.7892186227245,1248,39.55538228945792,3155070
Kansas,50720,1740.9726517635931,578,19.83994859462454,2913314
Kentucky,58764,1315.315601656612,1082,24.21842422218457,4467673
Louisiana,158634,3412.3688853496196,5126,110.26515694177888,4648794
Maine,4941,367.5759478415607,138,10.266237766066661,1344212
Maryland,117888,1949.9543475671885,3843,63.56605046909529,6045680
Massachusetts,123387,1790.1624417138446,9240,134.0587011714032,6892503
Michigan,125526,1256.911959388224,6941,69.50134561854645,9986857
Minnesota,85663,1518.9466263046952,1933,34.27528604703286,5639632
Mississippi,91234,3065.5051208793643,2756,92.6028905138822,2976149
Missouri,107853,1627.632983423355,1765,26.635997290221145,6626371
Montana,9431,882.4096304377523,141,13.192636824485533,1068778
Nebraska,39249,2028.9928494919375,439,22.694281661366166,1934408
Nevada,74248,2410.5272590089594,1494,48.504036808525285,3080156
New Hampshire,7780,572.1804118669335,438,32.212727557547154,1359711
New Jersey,197472,2223.2354858430185,16054,180.74371298069508,8882190
New Mexico,25699,1225.6125797573384,832,39.67896285295558,2096829
New York,446366,2294.520782082005,33025,169.76326339429576,19453561
North Carolina,188024,1792.739264864774,3149,30.02454976523834,10488084
North Dakota,16333,2143.26393390564,177,23.226456640010916,762062
Northern Mariana Islands,61,110.61946902654867,2,3.626867836936022,55144
Ohio,140518,1202.1284786681608,4555,38.967927385341895,11689100
Oklahoma,72228,1825.3355912893978,924,23.351194638525275,3956971
Oregon,29850,707.7254935525852,521,12.352595716612962,4217737
Pennsylvania,151850,1186.143809372122,7882,61.56855782331949,12801989
Puerto Rico,37032,986.2210810881348,0,0.0,3754939
Rhode Island,21374,2017.6313834471914,0,0.0,1059361
South Carolina,134122,2604.9611611753926,3132,60.830723943881914,5148714
South Dakota,17291,1954.5384153668251,192,21.703277760131304,884659
Tennessee,171625,2513.1150560814526,2121,31.05792882126008,6829174
Texas,696807,2403.1240851071225,14738,50.8279089709328,28995881
Utah,59747,1863.6239152228443,437,13.630871022015883,3205958
Vermont,1694,271.47914466440915,58,9.295035649666902,623989
Virgin Islands,1232,1148.5251892456276,19,17.712644964015364,107268
Virginia,136269,1596.4934293977904,2882,33.76478922957116,8535519
Washington,80518,1057.37533015894,2016,26.474436344673524,7614893
West Virginia,13202,736.6583209971058,293,16.34910529102802,1792147
Wisconsin,92159,1582.8260140003304,1227,21.073660946607554,5822434
Wyoming,4566,788.9294162164217,46,7.9480405488294785,578759
