Province/State,Confirmed
Alabama,39
Alaska,3
Arizona,20
Arkansas,22
California,698
Colorado,160
Connecticut,68
Delaware,16
Diamond Princess,47
District of Columbia,22
Florida,216
Georgia,146
Grand Princess,21
Guam,3
Hawaii,10
Idaho,8
Illinois,161
Indiana,30
Iowa,23
Kansas,18
Kentucky,26
Louisiana,196
Maine,32
Maryland,60
Massachusetts,218
Michigan,65
Minnesota,60
Mississippi,21
Missouri,11
Montana,9
Nebraska,21
Nevada,56
New Hampshire,26
New Jersey,267
New Mexico,23
New York,1706
North Carolina,64
North Dakota,3
Ohio,67
Oklahoma,19
Oregon,66
Pennsylvania,112
Puerto Rico,5
Rhode Island,23
South Carolina,47
South Dakota,11
Tennessee,74
Texas,110
Utah,51
Vermont,12
Virgin Islands,2
Virginia,67
Washington,1076
West Virginia,1
Wisconsin,72
Wyoming,11
