Date,3/16/20
Alabama,29
Alaska,1
Arizona,18
Arkansas,22
California,557
Colorado,160
Connecticut,30
Delaware,8
Diamond Princess,47
District of Columbia,22
Florida,155
Georgia,121
Grand Princess,20
Guam,3
Hawaii,7
Idaho,5
Illinois,105
Indiana,25
Iowa,23
Kansas,11
Kentucky,21
Louisiana,136
Maine,17
Maryland,41
Massachusetts,197
Michigan,53
Minnesota,54
Mississippi,13
Missouri,6
Montana,7
Nebraska,18
Nevada,45
New Hampshire,17
New Jersey,178
New Mexico,17
New York,967
North Carolina,38
North Dakota,1
Ohio,50
Oklahoma,10
Oregon,39
Pennsylvania,77
Puerto Rico,5
Rhode Island,21
South Carolina,33
South Dakota,10
Tennessee,52
Texas,85
Utah,39
Vermont,12
Virgin Islands,1
Virginia,49
Washington,904
West Virginia,0
Wisconsin,47
Wyoming,3
