Country/Region,Confirmed
Afghanistan,22
Albania,55
Algeria,60
Andorra,39
Antigua and Barbuda,1
Argentina,68
Armenia,78
Aruba,3
Australia,452
Austria,1332
Azerbaijan,28
Bahrain,228
Bangladesh,10
Barbados,2
Belarus,36
Belgium,1243
Benin,1
Bhutan,1
Bolivia,11
Bosnia and Herzegovina,26
Brazil,321
Brunei,56
Bulgaria,67
Burkina Faso,15
Cambodia,33
Cameroon,10
Canada,478
Central African Republic,1
Chile,201
China,81058
Colombia,65
Congo (Brazzaville),1
Congo (Kinshasa),3
Costa Rica,41
Cote d'Ivoire,5
Croatia,65
Cruise Ship,696
Cuba,5
Cyprus,46
Czechia,396
Denmark,1024
Dominican Republic,21
Ecuador,58
Egypt,196
Equatorial Guinea,1
Estonia,225
Eswatini,1
Ethiopia,5
Finland,321
France,7699
Gabon,1
Georgia,34
Germany,9257
Ghana,7
Greece,387
Greenland,1
Guatemala,6
Guernsey,1
Guinea,1
Guyana,7
Holy See,1
Honduras,8
Hungary,50
Iceland,220
India,142
Indonesia,172
Iran,16169
Iraq,154
Ireland,223
Israel,337
Italy,31506
Jamaica,12
Japan,878
Jersey,2
Jordan,34
Kazakhstan,33
Kenya,3
"Korea, South",8320
Kosovo,2
Kuwait,130
Latvia,49
Lebanon,120
Liberia,1
Liechtenstein,7
Lithuania,25
Luxembourg,140
Malaysia,673
Maldives,13
Malta,38
Martinique,16
Mauritania,1
Mexico,82
Moldova,30
Monaco,7
Mongolia,5
Montenegro,2
Morocco,38
Namibia,2
Nepal,1
Netherlands,1708
New Zealand,12
Nigeria,3
North Macedonia,26
Norway,1463
Oman,24
Pakistan,236
Panama,69
Paraguay,9
Peru,117
Philippines,187
Poland,238
Portugal,448
Qatar,439
Republic of the Congo,1
Romania,184
Russia,114
Rwanda,7
Saint Lucia,2
Saint Vincent and the Grenadines,1
San Marino,109
Saudi Arabia,171
Senegal,26
Serbia,65
Seychelles,4
Singapore,266
Slovakia,72
Slovenia,275
Somalia,1
South Africa,62
Spain,11748
Sri Lanka,44
Sudan,1
Suriname,1
Sweden,1190
Switzerland,2700
Taiwan*,77
Tanzania,1
Thailand,177
The Bahamas,1
The Gambia,1
Togo,1
Trinidad and Tobago,5
Tunisia,24
Turkey,47
US,6421
Ukraine,14
United Arab Emirates,98
United Kingdom,1960
Uruguay,29
Uzbekistan,10
Venezuela,33
Vietnam,66
