Country/Region,3/16/20
Afghanistan,0
Albania,1
Algeria,4
Andorra,0
Antigua and Barbuda,0
Argentina,2
Armenia,0
Aruba,0
Australia,3
Austria,3
Azerbaijan,1
Bahrain,1
Bangladesh,0
Belarus,0
Belgium,5
Benin,0
Bhutan,0
Bolivia,0
Bosnia and Herzegovina,0
Brazil,0
Brunei,0
Bulgaria,2
Burkina Faso,0
Cambodia,0
Cameroon,0
Canada,4
Central African Republic,0
Chile,0
China,3217
Colombia,0
Congo (Brazzaville),0
Congo (Kinshasa),0
Costa Rica,0
Cote d'Ivoire,0
Croatia,0
Cruise Ship,7
Cuba,0
Cyprus,0
Czechia,0
Denmark,3
Dominican Republic,0
Ecuador,2
Egypt,2
Equatorial Guinea,0
Estonia,0
Eswatini,0
Ethiopia,0
Finland,0
France,148
French Guiana,0
Gabon,0
Georgia,0
Germany,17
Ghana,0
Greece,4
Greenland,0
Guadeloupe,0
Guam,0
Guatemala,1
Guernsey,0
Guinea,0
Guyana,1
Holy See,0
Honduras,0
Hungary,1
Iceland,0
India,2
Indonesia,5
Iran,853
Iraq,10
Ireland,2
Israel,0
Italy,2158
Jamaica,0
Japan,27
Jersey,0
Jordan,0
Kazakhstan,0
Kenya,0
"Korea, South",75
Kosovo,0
Kuwait,0
Latvia,0
Lebanon,3
Liberia,0
Liechtenstein,0
Lithuania,0
Luxembourg,1
Malaysia,0
Maldives,0
Malta,0
Martinique,1
Mauritania,0
Mayotte,0
Mexico,0
Moldova,0
Monaco,0
Mongolia,0
Morocco,1
Namibia,0
Nepal,0
Netherlands,24
New Zealand,0
Nigeria,0
North Macedonia,0
Norway,3
Oman,0
Pakistan,0
Panama,1
Paraguay,0
Peru,0
Philippines,12
Poland,4
Portugal,0
Puerto Rico,0
Qatar,0
Republic of the Congo,0
Reunion,0
Romania,0
Russia,0
Rwanda,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
San Marino,7
Saudi Arabia,0
Senegal,0
Serbia,0
Seychelles,0
Singapore,0
Slovakia,0
Slovenia,1
Somalia,0
South Africa,0
Spain,342
Sri Lanka,0
Sudan,1
Suriname,0
Sweden,6
Switzerland,14
Taiwan*,1
Tanzania,0
Thailand,1
The Bahamas,0
Togo,0
Trinidad and Tobago,0
Tunisia,0
Turkey,0
US,85
Ukraine,1
United Arab Emirates,0
United Kingdom,56
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,0
occupied Palestinian territory,0
