Date,Confirmed,Recovered,Deaths,Sick
1/22/20,555,28,17,510
1/23/20,653,30,18,605
1/24/20,941,36,26,879
1/25/20,1434,39,42,1353
1/26/20,2118,52,56,2010
1/27/20,2927,61,82,2784
1/28/20,5578,107,131,5340
1/29/20,6166,126,133,5907
1/30/20,8234,143,171,7920
1/31/20,9927,222,213,9492
2/1/20,12038,284,259,11495
2/2/20,16787,472,362,15953
2/3/20,19881,623,426,18832
2/4/20,23892,852,492,22548
2/5/20,27635,1124,564,25947
2/6/20,30817,1487,634,28696
2/7/20,34391,2011,719,31661
2/8/20,37120,2616,806,33698
2/9/20,40150,3244,906,36000
2/10/20,42762,3946,1013,37803
2/11/20,44802,4683,1113,39006
2/12/20,45221,5150,1118,38953
2/13/20,60368,6295,1371,52702
2/14/20,66885,8058,1523,57304
2/15/20,69030,9395,1666,57969
2/16/20,71224,10865,1770,58589
2/17/20,73258,12583,1868,58807
2/18/20,75136,14352,2007,58777
2/19/20,75639,16121,2122,57396
2/20/20,76197,18177,2247,55773
2/21/20,76823,18890,2251,55682
2/22/20,78579,22886,2458,53235
2/23/20,78965,23394,2469,53102
2/24/20,79568,25227,2629,51712
2/25/20,80413,27905,2708,49800
2/26/20,81395,30384,2770,48241
2/27/20,82754,33277,2814,46663
2/28/20,84120,36711,2872,44537
2/29/20,86011,39782,2941,43288
3/1/20,88369,42716,2996,42657
3/2/20,90306,45602,3085,41619
3/3/20,92840,48228,3160,41452
3/4/20,95120,51170,3254,40696
3/5/20,97882,53796,3348,40738
3/6/20,101784,55865,3460,42459
3/7/20,105821,58358,3558,43905
3/8/20,109795,60694,3802,45299
3/9/20,113561,62494,3988,47079
3/10/20,118592,64404,4262,49926
3/11/20,125865,67003,4615,54247
3/12/20,128343,68324,4720,55299
3/13/20,145193,70251,5404,69538
3/14/20,156097,72624,5819,77654
3/15/20,167449,76034,6440,84975
3/16/20,181531,78088,7126,96317
3/17/20,197146,80840,7905,108401
