Date,Hubei,Guangdong,Henan,Zhejiang,Hunan,Anhui,Jiangxi,Shandong,Jiangsu,Chongqing,Sichuan,Heilongjiang,Beijing,Shanghai,Hebei,Fujian,Guangxi,Shaanxi,Yunnan,Hainan,Guizhou,Tianjin,Shanxi,Gansu,Hong Kong,Liaoning,Jilin,Xinjiang,Inner Mongolia,Ningxia,Qinghai,Macau,Tibet
1/22/20,444.0,26.0,5.0,10.0,4.0,1.0,2.0,2.0,1.0,6.0,5.0,0.0,14.0,9.0,1.0,1.0,2.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1/23/20,444.0,32.0,5.0,27.0,9.0,9.0,7.0,6.0,5.0,9.0,8.0,2.0,22.0,16.0,1.0,5.0,5.0,3.0,2.0,5.0,3.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0
1/24/20,549.0,53.0,9.0,43.0,24.0,15.0,18.0,15.0,9.0,27.0,15.0,4.0,36.0,20.0,2.0,10.0,23.0,5.0,5.0,8.0,3.0,8.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0
1/25/20,761.0,78.0,32.0,62.0,43.0,39.0,18.0,27.0,18.0,57.0,28.0,9.0,41.0,33.0,8.0,18.0,23.0,15.0,11.0,19.0,4.0,10.0,6.0,4.0,5.0,17.0,4.0,3.0,7.0,3.0,1.0,2.0,0.0
1/26/20,1058.0,111.0,83.0,104.0,69.0,60.0,36.0,46.0,33.0,75.0,44.0,15.0,68.0,40.0,13.0,35.0,36.0,22.0,16.0,22.0,5.0,14.0,9.0,7.0,8.0,21.0,4.0,4.0,7.0,4.0,1.0,5.0,0.0
1/27/20,1423.0,151.0,128.0,128.0,100.0,70.0,72.0,75.0,47.0,110.0,69.0,21.0,80.0,53.0,18.0,59.0,46.0,35.0,26.0,33.0,7.0,23.0,13.0,14.0,8.0,27.0,6.0,5.0,11.0,7.0,6.0,6.0,0.0
1/28/20,3554.0,207.0,168.0,173.0,143.0,106.0,109.0,95.0,70.0,132.0,90.0,33.0,91.0,66.0,33.0,80.0,51.0,46.0,44.0,40.0,9.0,24.0,27.0,19.0,8.0,34.0,8.0,10.0,15.0,11.0,6.0,7.0,0.0
1/29/20,3554.0,277.0,206.0,296.0,221.0,152.0,109.0,130.0,99.0,147.0,108.0,38.0,111.0,96.0,48.0,84.0,58.0,56.0,55.0,43.0,9.0,27.0,27.0,24.0,10.0,39.0,9.0,13.0,16.0,12.0,6.0,7.0,0.0
1/30/20,4903.0,354.0,278.0,428.0,277.0,200.0,162.0,158.0,129.0,182.0,142.0,44.0,114.0,112.0,65.0,101.0,78.0,63.0,70.0,46.0,12.0,31.0,35.0,26.0,10.0,41.0,14.0,14.0,19.0,17.0,8.0,7.0,1.0
1/31/20,5806.0,436.0,352.0,538.0,332.0,237.0,240.0,184.0,168.0,211.0,177.0,59.0,139.0,135.0,82.0,120.0,87.0,87.0,83.0,52.0,29.0,32.0,39.0,29.0,12.0,48.0,14.0,17.0,20.0,21.0,8.0,7.0,1.0
2/1/20,7153.0,535.0,422.0,599.0,389.0,297.0,286.0,206.0,202.0,247.0,207.0,80.0,168.0,169.0,96.0,144.0,100.0,101.0,93.0,62.0,29.0,41.0,47.0,40.0,13.0,64.0,17.0,18.0,23.0,26.0,9.0,7.0,1.0
2/2/20,11177.0,632.0,493.0,661.0,463.0,340.0,333.0,230.0,236.0,300.0,231.0,95.0,191.0,182.0,104.0,159.0,111.0,116.0,105.0,64.0,38.0,48.0,66.0,51.0,15.0,70.0,23.0,21.0,27.0,28.0,11.0,8.0,1.0
2/3/20,13522.0,725.0,566.0,724.0,521.0,408.0,391.0,259.0,271.0,337.0,254.0,121.0,212.0,203.0,113.0,179.0,127.0,128.0,117.0,72.0,46.0,60.0,74.0,55.0,15.0,74.0,31.0,24.0,34.0,31.0,13.0,8.0,1.0
