Province_State,1/31/20 Total Confirmed,2/29/20 Total Confirmed,3/31/20 Total Confirmed,1/31/20 Total Confirmed Per 100K,2/29/20 Total Confirmed Per 100K,3/31/20 Total Confirmed Per 100K,1/31/20 Total Deaths,2/29/20 Total Deaths,3/31/20 Total Deaths,1/31/20 Total Deaths Per 100K,2/29/20 Total Deaths Per 100K,3/31/20 Total Deaths Per 100K,Population
Alabama,0,0,987,0.0,0.0,20.12977279054329,0,0,15,0.0,0.0,0.3059235986404755,4903185
Alaska,0,0,119,0.0,0.0,16.266941883274438,0,0,1,0.0,0.0,0.1366969906157516,731545
American Samoa,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,55641
Arizona,1,1,1289,0.013738684990775159,0.013738684990775159,17.709164953109184,0,0,12,0.0,0.0,0.16486421988930192,7278717
Arkansas,0,0,489,0.0,0.0,16.20383563677429,0,0,5,0.0,0.0,0.16568339096906226,3017804
California,3,12,8233,0.0075925872356004875,0.03037034894240195,20.836590236899607,0,0,173,0.0,0.0,0.43783919725296144,39512223
Colorado,0,0,2837,0.0,0.0,49.26428299543511,0,0,68,0.0,0.0,1.1808146787767315,5758736
Connecticut,0,0,3051,0.0,0.0,85.57515846550362,0,0,67,0.0,0.0,1.879231601831774,3565287
Delaware,0,0,319,0.0,0.0,32.75947765577696,0,0,7,0.0,0.0,0.7188600112552939,973764
District of Columbia,0,0,495,0.0,0.0,70.13825028444957,0,0,9,0.0,0.0,1.2752409142627195,705749
Florida,0,0,6739,0.0,0.0,31.376676229902618,0,0,85,0.0,0.0,0.39575864067988165,21477737
Georgia,0,0,3764,0.0,0.0,35.451163620400166,0,0,110,0.0,0.0,1.0360329432104192,10617423
Guam,0,0,69,0.0,0.0,42.0145041375153,0,0,2,0.0,0.0,1.2178117141308784,164229
Hawaii,0,0,191,0.0,0.0,13.489919992767707,0,0,0,0.0,0.0,0.0,1415872
Idaho,0,0,515,0.0,0.0,28.818201912073707,0,0,8,0.0,0.0,0.4476613889254168,1787065
Illinois,2,2,5976,0.01578305122839093,0.01578305122839093,47.1597570704321,0,0,99,0.0,0.0,0.7812610358053511,12671821
Indiana,0,0,2158,0.0,0.0,32.05480986284017,0,0,49,0.0,0.0,0.7278432267280669,6732219
Iowa,0,0,495,0.0,0.0,15.68903384077057,0,0,6,0.0,0.0,0.1901701071608554,3155070
Kansas,0,0,434,0.0,0.0,14.897124031257873,0,0,9,0.0,0.0,0.30892653521041674,2913314
Kentucky,0,0,614,0.0,0.0,13.743172340500301,0,0,9,0.0,0.0,0.2014471515708513,4467673
Louisiana,0,0,5215,0.0,0.0,112.17963196476335,0,0,235,0.0,0.0,5.05507449889154,4648794
Maine,0,0,297,0.0,0.0,22.094729105230424,0,0,5,0.0,0.0,0.37196513645169066,1344212
Maryland,0,0,1660,0.0,0.0,27.457622633020605,0,0,18,0.0,0.0,0.29773325746648843,6045680
Massachusetts,1,2,9919,0.014508517442792551,0.029017034885585102,143.90998451505934,0,0,80,0.0,0.0,1.1606813954234043,6892503
Michigan,0,0,7838,0.0,0.0,78.48315040457673,0,0,292,0.0,0.0,2.9238428066007156,9986857
Minnesota,0,0,629,0.0,0.0,11.153209996680635,0,0,9,0.0,0.0,0.15958488071562116,5639632
Mississippi,0,0,937,0.0,0.0,31.483638755989702,0,0,20,0.0,0.0,0.6720093651225124,2976149
Missouri,0,0,1550,0.0,0.0,23.391385722290526,0,0,19,0.0,0.0,0.2867331153054968,6626371
Montana,0,0,198,0.0,0.0,18.52583043438394,0,0,5,0.0,0.0,0.46782400086828135,1068778
Nebraska,0,0,169,0.0,0.0,8.736523008589709,0,0,3,0.0,0.0,0.15508620725307176,1934408
Nevada,0,0,1012,0.0,0.0,32.85547874847897,0,0,26,0.0,0.0,0.844113090375942,3080156
New Hampshire,0,0,357,0.0,0.0,26.255579310603505,0,0,3,0.0,0.0,0.2206351202571723,1359711
New Jersey,0,0,15010,0.0,0.0,168.9898549794589,0,0,20,0.0,0.0,0.22516969351027166,8882190
New Mexico,0,0,315,0.0,0.0,15.022684253222367,0,0,4,0.0,0.0,0.1907642444853634,2096829
New York,0,0,75853,0.0,0.0,389.91832909152214,0,0,2342,0.0,0.0,12.038926960467546,19453561
North Carolina,0,0,1535,0.0,0.0,14.635656998933266,0,0,12,0.0,0.0,0.11441555960078123,10488084
North Dakota,0,0,122,0.0,0.0,16.009196102154416,0,0,3,0.0,0.0,0.39366875661035455,762062
Northern Mariana Islands,0,0,2,0.0,0.0,3.626867836936022,0,0,0,0.0,0.0,0.0,55144
