State,1/31/20 Total Confirmed,2/29/20 Total Confirmed,3/31/20 Total Confirmed,1/31/20 Total Confirmed Per 100K,2/29/20 Total Confirmed Per 100K,3/31/20 Total Confirmed Per 100K,1/31/20 Total Deaths,2/29/20 Total Deaths,3/31/20 Total Deaths,1/31/20 Total Deaths Per 100K,2/29/20 Total Deaths Per 100K,3/31/20 Total Deaths Per 100K,Population,Jan 2020 Unemployment,Feb 2020 Unemployment,Jan 2020 Change Non-Farm Employment,Feb 2020 Change Non-Farm Employment
Alabama,0,0,987,0.0,0.0,20.12977279054329,0,0,15,0.0,0.0,0.3059235986404755,4903185,2.7,2.7,-2.600000000000364,2.600000000000364
Alaska,0,0,119,0.0,0.0,16.266941883274438,0,0,1,0.0,0.0,0.1366969906157516,731545,6,5.8,-0.8000000000000114,2.0
Arizona,1,1,1289,0.013738684990775159,0.013738684990775159,17.709164953109184,0,0,12,0.0,0.0,0.16486421988930192,7278717,4.5,4.5,4.099999999999909,5.300000000000182
Arkansas,0,0,489,0.0,0.0,16.20383563677429,0,0,5,0.0,0.0,0.16568339096906226,3017804,3.5,3.5,-0.3999999999998636,-2.900000000000091
California,3,12,8210,0.007592587235600486,0.03037034894240195,20.778380401426663,0,0,173,0.0,0.0,0.43783919725296144,39512223,3.9,3.9,29.099999999998545,29.0
Colorado,0,0,2837,0.0,0.0,49.26428299543512,0,0,68,0.0,0.0,1.1808146787767315,5758736,2.5,2.5,0.3000000000001819,3.099999999999909
Connecticut,0,0,3051,0.0,0.0,85.57515846550362,0,0,67,0.0,0.0,1.879231601831774,3565287,3.7,3.8,3.2999999999999545,4.0
Delaware,0,0,319,0.0,0.0,32.75947765577696,0,0,7,0.0,0.0,0.7188600112552939,973764,4,3.9,3.400000000000034,1.3000000000000114
District of Columbia,0,0,495,0.0,0.0,70.13825028444957,0,0,9,0.0,0.0,1.2752409142627197,705749,5.2,5.2,0.7000000000000455,0.5
Florida,0,0,6739,0.0,0.0,31.376676229902614,0,0,85,0.0,0.0,0.3957586406798817,21477737,2.8,2.8,37.399999999999636,7.100000000000364
Georgia,0,0,3764,0.0,0.0,35.45116362040017,0,0,110,0.0,0.0,1.0360329432104192,10617423,3.1,3.1,11.199999999999818,-1.0
Hawaii,0,0,191,0.0,0.0,13.489919992767707,0,0,0,0.0,0.0,0.0,1415872,2.7,2.7,-0.10000000000002274,-0.5
Idaho,0,0,515,0.0,0.0,28.81820191207371,0,0,8,0.0,0.0,0.4476613889254168,1787065,2.8,2.7,0.0,2.7999999999999545
Illinois,2,2,5976,0.01578305122839093,0.01578305122839093,47.1597570704321,0,0,99,0.0,0.0,0.7812610358053511,12671821,3.5,3.4,16.0,-0.1999999999998181
Indiana,0,0,2158,0.0,0.0,32.05480986284017,0,0,49,0.0,0.0,0.7278432267280669,6732219,3.1,3.1,13.300000000000182,5.0
Iowa,0,0,495,0.0,0.0,15.689033840770572,0,0,6,0.0,0.0,0.1901701071608554,3155070,2.8,2.8,-0.40000000000009095,-1.2000000000000455
Kansas,0,0,434,0.0,0.0,14.897124031257873,0,0,9,0.0,0.0,0.30892653521041674,2913314,3.1,3.1,5.099999999999909,1.6000000000001364
