Date,World Confirmed,World Recovered,World Deaths,World Sick,US Confirmed,US Recovered,US Deaths,US Sick,China Confirmed,China Recovered,China Deaths,China Sick
1/22/20,555,28,17,510,1,0,0,1,548,28,17,503
1/23/20,654,30,18,606,1,0,0,1,643,30,18,595
1/24/20,941,36,26,879,2,0,0,2,920,36,26,858
1/25/20,1434,39,42,1353,2,0,0,2,1406,39,42,1325
1/26/20,2118,52,56,2010,5,0,0,5,2075,49,56,1970
1/27/20,2927,61,82,2784,5,0,0,5,2877,58,82,2737
1/28/20,5578,107,131,5340,5,0,0,5,5509,101,131,5277
1/29/20,6166,126,133,5907,5,0,0,5,6087,120,133,5834
1/30/20,8234,143,171,7920,5,0,0,5,8141,135,171,7835
1/31/20,9927,222,213,9492,7,0,0,7,9802,214,213,9375
2/1/20,12038,284,259,11495,8,0,0,8,11891,275,259,11357
2/2/20,16787,472,362,15953,8,0,0,8,16630,463,361,15806
2/3/20,19881,623,426,18832,11,0,0,11,19716,614,425,18677
2/4/20,23892,852,492,22548,11,0,0,11,23707,843,491,22373
2/5/20,27635,1124,564,25947,11,0,0,11,27440,1115,563,25762
2/6/20,30794,1487,634,28673,11,0,0,11,30587,1477,633,28477
2/7/20,34391,2011,719,31661,11,0,0,11,34110,1999,718,31393
2/8/20,37120,2616,806,33698,11,0,0,11,36814,2596,805,33413
2/9/20,40150,3244,906,36000,11,3,0,8,39829,3219,905,35705
2/10/20,42762,3946,1013,37803,11,3,0,8,42354,3918,1012,37424
2/11/20,44802,4683,1113,39006,12,3,0,9,44386,4636,1112,38638
2/12/20,45221,5150,1118,38953,12,3,0,9,44759,5082,1117,38560
2/13/20,60368,6295,1371,52702,13,3,0,10,59895,6217,1369,52309
2/14/20,66885,8058,1523,57304,13,3,0,10,66358,7977,1521,56860
2/15/20,69030,9395,1666,57969,13,3,0,10,68413,9298,1663,57452
2/16/20,71224,10865,1770,58589,13,3,0,10,70513,10755,1766,57992
2/17/20,73258,12583,1868,58807,13,3,0,10,72434,12462,1864,58108
2/18/20,75136,14352,2007,58777,13,3,0,10,74211,14206,2003,58002
2/19/20,75639,16121,2122,57396,13,3,0,10,74619,15962,2116,56541
2/20/20,76197,18177,2247,55773,13,3,0,10,75077,18014,2238,54825
2/21/20,76819,18890,2251,55678,15,5,0,10,75550,18704,2238,54608
2/22/20,78572,22886,2458,53228,15,5,0,10,77001,22699,2443,51859
2/23/20,78958,23394,2469,53095,15,5,0,10,77022,23187,2445,51390
2/24/20,79561,25227,2629,51705,51,5,0,46,77241,25015,2595,49631
2/25/20,80406,27905,2708,49793,51,6,0,45,77754,27676,2665,47413
2/26/20,81388,30384,2770,48234,57,6,0,51,78166,30084,2717,45365
2/27/20,82746,33277,2814,46655,58,6,0,52,78600,32930,2746,42924
2/28/20,84112,36711,2872,44529,60,7,0,53,78928,36329,2790,39809
2/29/20,86011,39782,2941,43288,68,7,1,60,79356,39320,2837,37199
3/1/20,88369,42716,2996,42657,74,7,1,66,79932,42162,2872,34898
3/2/20,90306,45602,3085,41619,98,7,6,85,80136,44854,2914,32368
3/3/20,92840,48228,3160,41452,118,7,7,104,80261,47450,2947,29864
3/4/20,95120,51170,3254,40696,149,7,11,131,80386,50001,2983,27402
3/5/20,97886,53796,3348,40742,217,7,12,198,80537,52292,3015,25230
3/6/20,101801,55865,3460,42476,262,7,14,241,80690,53944,3044,23702
3/7/20,105847,58358,3558,43931,402,7,17,378,80770,55539,3072,22159
3/8/20,109821,60694,3802,45325,518,7,21,490,80823,57388,3100,20335
3/9/20,113590,62494,3988,47108,583,7,22,554,80860,58804,3123,18933
3/10/20,118620,64404,4262,49954,959,8,28,923,80887,60181,3139,17567
3/11/20,125875,67003,4615,54257,1281,8,36,1237,80921,61644,3161,16116
3/12/20,128352,68324,4720,55308,1663,12,40,1611,80932,62901,3172,14859
3/13/20,145205,70251,5404,69550,2179,12,47,2120,80945,64196,3180,13569
3/14/20,156101,72624,5819,77658,2727,12,54,2661,80977,65660,3193,12124
3/15/20,167454,76034,6440,84980,3499,12,63,3424,81003,67017,3203,10783
3/16/20,181574,78088,7126,96360,4632,17,85,4530,81033,67910,3217,9906
3/17/20,197102,80840,7905,108357,6421,17,108,6296,81058,68798,3230,9030
3/18/20,214821,83312,8733,122776,7783,105,118,7560,81102,69755,3241,8106
3/19/20,242500,84975,9867,147658,13677,121,200,13356,81156,70535,3249,7372
3/20/20,272035,87420,11299,173316,19100,147,244,18709,81250,71266,3253,6731
3/21/20,304396,91692,12973,199731,25489,176,307,25006,81305,71857,3259,6189
