,Province/State,Confirmed,POPESTIMATE2019,Confirm per 100K
0,Alabama,131,4903185,2.671732761460153
1,Alaska,15,731545,2.050454859236274
2,Arizona,118,7278717,1.621164828911469
3,Arkansas,122,3017804,4.042674739645119
4,California,1364,39512223,3.452096329786355
5,Colorado,390,5758736,6.7723194812194905
6,Connecticut,194,3565287,5.441357175453197
7,Delaware,45,973764,4.621242929498318
8,District of Columbia,77,705749,10.910394488692155
9,Florida,659,21477737,3.068293461271083
10,Georgia,507,10617423,4.775170020069842
11,Hawaii,37,1415872,2.6132305745152102
12,Idaho,36,1787065,2.0144762501643756
13,Illinois,753,12671821,5.942318787489185
14,Indiana,128,6732219,1.9013047555345424
15,Iowa,68,3155070,2.1552612144896943
16,Kansas,57,2913314,1.956534722999306
17,Kentucky,87,4467673,1.9473224651848962
18,Louisiana,585,4648794,12.583908858942772
19,Maine,70,1344212,5.207511910323669
20,Maryland,193,6045680,3.1923621495017933
21,Massachusetts,525,6892503,7.616971657466091
22,Michigan,788,9986857,7.8903703137033
23,Minnesota,138,5639632,2.4469681709728577
24,Mississippi,140,2976149,4.704065555857587
25,Missouri,74,6137428,1.2057167921155245
26,Montana,21,1068778,1.9648608036467816
27,Nebraska,38,1934408,1.964425291872242
28,Nevada,161,3080156,5.227007982712564
29,New Hampshire,55,1359711,4.044977204714826
30,New Jersey,1327,8882190,14.940009164406526
31,New Mexico,43,2096829,2.0507156282176564
32,New York,11710,19453561,60.194634802337724
33,North Carolina,253,10488084,2.4122613815831375
34,North Dakota,28,762062,3.674241728363309
35,Ohio,248,11689100,2.1216346853051133
36,Oklahoma,53,3956971,1.3394083504781813
37,Oregon,114,4217737,2.7028712316581145
38,Pennsylvania,396,12801989,3.09326933494475
39,Rhode Island,66,1059361,6.230170829396211
40,South Carolina,171,5148714,3.3212176865912535
41,South Dakota,14,884659,1.5825306700095743
42,Tennessee,371,6829174,5.432575008339222
43,Texas,581,28995881,2.0037328750245593
44,Utah,136,3205958,4.242101736828742
45,Vermont,29,623989,4.647517824833451
46,Virginia,156,8535519,1.8276568771037824
47,Washington,1793,7614893,23.54596446726172
48,West Virginia,8,1792147,0.4463919533386491
49,Wisconsin,282,5822434,4.84333527868242
50,Wyoming,23,578759,3.9740202744147393
51,Puerto Rico,21,3193694,0.657545776145116
