Province_State,Confirmed,Confirmed per 100K,Deaths,Deaths per 100K,Population
Alabama,9046,184.49232488678277,369,7.525720526555698,4903185
Alaska,374,51.1246744902911,10,1.366969906157516,731545
American Samoa,0,0.0,0,0.0,55641
Arizona,9945,136.63122223325897,449,6.168669560858047,7278717
Arkansas,3544,117.43638751887134,87,2.882891002861683,3017804
California,62148,157.28803717269972,2533,6.410674489258678,39512223
Colorado,18217,316.3367794599371,939,16.305661520166925,5758736
Connecticut,31499,883.4912869567023,2795,78.39481085253445,3565287
Delaware,5909,606.8205437867903,202,20.744246039081336,973764
District of Columbia,5654,801.1346810268241,285,40.382628951652784,705749
Florida,38795,180.628899590306,1600,7.449574412797773,21477737
Georgia,29679,279.5311065594731,1336,12.583091019355638,10617423
Guam,149,90.72697270275043,5,3.0445292853271955,164229
Hawaii,619,43.71864123310582,17,1.2006735072096912,1415872
Idaho,2178,121.87581313494474,67,3.7491641322503657,1787065
Illinois,70700,557.9308609236194,3108,24.526861608919504,12671821
Indiana,22503,334.25828838901407,1295,19.235856706384627,6732219
Iowa,11051,350.26164237243546,231,7.321549125692933,3155070
Kansas,6332,217.34698010581764,165,5.663653145524306,2913314
Kentucky,6091,136.33495557978392,294,6.5806069513144765,4467673
Louisiana,30589,657.9986121131631,2134,45.90437864099807,4648794
Maine,1328,98.79394024156903,62,4.612367692000964,1344212
Maryland,29374,485.86759471225736,1408,23.289357028489764,6045680
Massachusetts,73393,1064.8236206788738,4549,65.99924584726332,6892503
Michigan,45651,457.1107806990728,4345,43.50718148863051,9986857
Minnesota,9345,165.7023011430533,508,9.007679933726173,5639632
Mississippi,8686,291.8536672727071,396,13.305785429425745,2976149
Missouri,9581,144.5889461969455,449,6.77595625116674,6626371
Montana,456,42.66554887918726,16,1.4970368027785004,1068778
Nebraska,7068,365.383104288237,69,3.56698276682065,1934408
Nevada,5855,190.08777477504387,288,9.350175770318128,3080156
New Hampshire,2822,207.5441031219134,86,6.324873447372273,1359711
New Jersey,133991,1508.5356201567406,8807,99.15347453724813,8882190
New Mexico,4493,214.2759376181844,172,8.202862512870626,2096829
New York,327469,1385.932364753525,26144,110.64807888415747,23628065
North Carolina,13540,129.09888974954814,513,4.891265172933397,10488084
North Dakota,1371,179.90662177093202,25,3.280572971752955,762062
Northern Mariana Islands,15,27.201508777020166,2,3.626867836936022,55144
Ohio,22131,189.33023072777203,1271,10.873377762188705,11689100
Oklahoma,4330,109.42713504850049,260,6.57068247404391,3956971
Oregon,2989,70.86738694233424,121,2.86883700904063,4217737
Pennsylvania,55956,437.08833057113236,3589,28.03470616948663,12801989
Puerto Rico,2031,69.23687397048076,102,3.4771842171290186,2933408
Rhode Island,8519,804.1640196307019,0,0.0,1059361
South Carolina,7142,138.71424981072943,316,6.1374549062154165,5148714
South Dakota,2906,328.4881519319874,31,3.5041750550212,884659
Tennessee,13686,200.40490987636278,232,3.3971897626272223,6829174
Texas,36036,124.2797209714028,985,3.3970342201363013,28995881
Utah,5724,178.54257604123322,61,1.9027073966658328,3205958
Vermont,912,146.15642262924507,53,8.493739472971479,623989
Virgin Islands,66,61.52813513815863,4,3.728977887161129,107268
Virginia,21570,252.7087105072345,769,9.009411144184671,8535519
Washington,16178,212.45209880165092,891,11.700755348761959,7614893
West Virginia,1287,71.81330549335517,51,2.845748702533888,1792147
Wisconsin,9215,158.267143947016,374,6.423430475983069,5822434
Wyoming,635,109.7175162718852,1,0.1727834901919452,578759
