Date,Alabama,Alaska,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1/4/2020,"4,578",981,"2,576","3,132","36,720","2,431","7,852",875,481,"4,618","17,060","1,825","2,957","11,779","4,434","4,586","2,019","5,175","1,658","1,663","3,997","9,464","13,207","7,293","1,178","7,474","1,555","3,508",836,"1,099",690,"15,325",799,"2,264","44,846","10,759","2,943","6,714","27,298",853,"1,972","7,471",398,"3,084","12,367","1,518",680,10,"3,188","10,024","1,564","12,854",662
1/11/2020,"3,629","1,371","2,493","4,654","51,993","3,001","5,986","1,107",706,"6,862","17,962","1,826","2,131","12,703","4,890","4,836","2,140","3,968","2,521","1,561","4,627","8,784","14,245","5,933","1,515","10,913","1,755","4,628","1,530","1,171",722,"13,469","1,194","2,792","23,314","9,957","2,034","6,215","26,356",836,"1,817","4,629",468,"3,711","21,902","1,834",649,24,"3,643","9,069","2,638","8,255",829
1/18/2020,"2,483","1,181","1,729","4,152","64,858","2,522","3,776",830,594,"6,088","8,161","1,234","2,172","14,807","3,741","3,615","2,402","3,084","2,008",959,"3,739","6,940","10,304","4,463","1,135","4,938","1,236","4,217",785,988,613,"10,728",947,"2,451","17,823","7,865","1,981","4,051","16,218","3,124","1,194","3,126",338,"3,093","15,783","1,458",755,40,"2,831","9,079","1,895","6,388",636
1/25/2020,"2,129","1,003","1,683","3,475","45,596","2,164","2,949",674,534,"5,206","5,257","1,014","1,821","9,762","2,956","3,115","2,557","2,569","1,878",944,"3,283","6,022","7,678","3,931",993,"5,474",922,"3,344",543,960,577,"9,325",764,"2,101","15,022","8,086","1,830","4,457","13,359","2,335","1,048","2,248",291,"2,484","13,070","1,271",518,44,"3,059","8,072","1,290","6,134",531
2/1/2020,"2,170","1,122","1,837","3,807","43,458","2,049","2,994",622,539,"5,457","5,199","1,135","1,446","9,343","3,016","3,066","2,000","2,625","2,058",881,"3,203","5,523","6,869","3,700",963,"4,801",902,"3,611",447,833,456,"8,304",784,"2,286","16,545","7,329","1,779","4,853","15,893","1,998",971,"2,099",217,"2,362","13,818","1,290",481,35,"2,575","6,619","1,364","6,280",529
2/8/2020,"2,176",980,"1,724","3,636","40,392","2,482","2,944",608,508,"5,605","5,577","1,137","1,443","9,794","2,725","2,379","2,107","2,936","1,805",702,"3,150","5,878","6,627","4,108",968,"3,670",935,"3,326",526,675,507,"9,288",873,"2,794","15,010","6,825","1,715","4,953","14,425","1,770",959,"2,054",223,"2,161","13,869","1,303",475,45,"3,097","7,161","1,206","6,579",589
2/15/2020,"1,981",915,"1,602","3,538","43,445","2,209","2,520",610,473,"5,229","6,277","1,199","1,356","8,045","2,556","2,239","2,076","2,813","1,739",790,"3,048","5,393","5,587","3,641",861,"3,363",921,"3,094",457,537,424,"8,550",725,"2,543","14,333","6,532","1,633","4,284","13,583","1,588",996,"2,088",194,"2,140","12,790","1,097",543,40,"2,693","6,311","1,172","5,808",598
2/22/2020,"1,735",773,"1,055","3,151","34,979","1,862","2,435",632,422,"4,861","5,030","1,020","1,114","11,812","2,979","2,631","1,494","2,508","1,798",737,"2,700","9,264","5,942","3,539",827,"3,063",795,"2,852",435,493,444,"8,396",737,"2,052","14,144","6,208","1,509","3,514","12,631","1,390","1,921","1,824",191,"1,855","12,047","1,008",610,55,"2,079","5,585","1,207","6,098",389
2/29/2020,"1,575",874,"1,418","3,086","41,678","1,681","2,843",524,452,"4,853","5,538","1,049",998,"8,980","2,276","2,240","1,517","2,223","1,509",862,"2,626","4,865","5,419","3,410",744,"2,732",695,"1,767",363,502,894,"7,773",681,"2,324","31,208","9,916","1,458","3,936","12,045","1,296",874,"1,977",159,"2,014","12,692",885,863,37,"3,267","5,770","1,108","5,658",471
3/7/2020,"1,663",815,"1,843","3,357","43,385","1,865","2,527",518,471,"5,325","4,569","1,275",938,"8,727","2,223","2,221","1,365","2,463","1,698",715,"2,675","4,712","5,150","3,488",879,"2,994",714,"2,575",423,501,495,"7,996",690,"2,309","14,035","6,545","1,569","4,154","12,227","1,343",700,"1,889",185,"2,032","14,355","1,015",446,64,"2,527","6,616","1,033","5,052",534
