Country/Region,Confirmed
Afghanistan,40
Albania,89
Algeria,201
Andorra,113
Angola,2
Antigua and Barbuda,1
Argentina,225
Armenia,194
Australia,1314
Austria,3244
Azerbaijan,65
"Bahamas, The",4
Bahrain,332
Bangladesh,27
Barbados,14
Belarus,76
Belgium,3401
Benin,2
Bhutan,2
Bolivia,24
Bosnia and Herzegovina,126
Brazil,1593
Brunei,88
Bulgaria,187
Burkina Faso,75
Cabo Verde,3
Cambodia,84
Cameroon,40
Canada,1465
Cape Verde,1
Central African Republic,3
Chad,1
Chile,632
China,81397
Colombia,231
Congo (Brazzaville),3
Congo (Kinshasa),30
Costa Rica,134
Cote d'Ivoire,14
Croatia,254
Cruise Ship,712
Cuba,35
Cyprus,95
Czechia,1120
Denmark,1514
Djibouti,1
Dominica,1
Dominican Republic,202
East Timor,1
Ecuador,789
Egypt,327
El Salvador,3
Equatorial Guinea,6
Eritrea,1
Estonia,326
Eswatini,4
Ethiopia,11
Fiji,2
Finland,626
France,16176
Gabon,5
"Gambia, The",1
Georgia,54
Germany,24873
Ghana,24
Greece,624
Grenada,1
Guatemala,19
Guinea,2
Guyana,7
Haiti,2
Holy See,1
Honduras,26
Hungary,131
Iceland,568
India,396
Indonesia,514
Iran,21638
Iraq,233
Ireland,906
Israel,1071
Italy,59138
Jamaica,16
Japan,1086
Jordan,112
Kazakhstan,60
Kenya,15
"Korea, South",8897
Kosovo,2
Kuwait,188
Kyrgyzstan,14
Latvia,139
Lebanon,248
Liberia,3
Liechtenstein,37
Lithuania,131
Luxembourg,798
Madagascar,3
Malaysia,1306
Maldives,13
Malta,90
Martinique,37
Mauritania,2
Mauritius,18
Mexico,251
Moldova,94
Monaco,23
Mongolia,10
Montenegro,21
Morocco,115
Mozambique,1
Namibia,3
Nepal,2
Netherlands,4216
New Zealand,66
Nicaragua,2
Niger,2
Nigeria,30
North Macedonia,114
Norway,2383
Oman,55
Pakistan,776
Panama,245
Papua New Guinea,1
Paraguay,22
Peru,363
Philippines,380
Poland,634
Portugal,1600
Qatar,494
Romania,433
Russia,367
Rwanda,19
Saint Lucia,2
Saint Vincent and the Grenadines,1
San Marino,160
Saudi Arabia,511
Senegal,67
Serbia,222
Seychelles,7
Singapore,455
Slovakia,185
Slovenia,414
Somalia,1
South Africa,274
Spain,28768
Sri Lanka,82
Sudan,2
Suriname,5
Sweden,1934
Switzerland,7245
Syria,1
Taiwan*,169
Tanzania,12
Thailand,599
Timor-Leste,1
Togo,16
Trinidad and Tobago,50
Tunisia,75
Turkey,1236
US,33272
Uganda,1
Ukraine,73
United Arab Emirates,153
United Kingdom,5741
Uruguay,135
Uzbekistan,43
Venezuela,70
Vietnam,113
Zambia,3
Zimbabwe,3
